,model,rank,alpha,root,topK,NDCG,Precision@5,Precision@10,Precision@15,Precision@20,Precision@50,R-Precision,Recall@5,Recall@10,Recall@15,Recall@20,Recall@50,,,,,,,,,,,,,,,
29,PmiWPLRec,100,10,1.1,,"[0.1798, 0.0008]","[0.1133, 0.0009]","[0.1061, 0.0007]","[0.1015, 0.0006]","[0.0983, 0.0006]","[0.0848, 0.0004]","[0.0876, 0.0006]","[0.0409, 0.0005]","[0.0763, 0.0007]","[0.1097, 0.0009]","[0.1412, 0.001]","[0.2895, 0.0014]",,,,,,,,,,,,,,,
30,PmiWPLRec,100,10,1.2,,"[0.1648, 0.0008]","[0.1062, 0.0009]","[0.0996, 0.0007]","[0.0955, 0.0006]","[0.0926, 0.0006]","[0.0802, 0.0004]","[0.0805, 0.0006]","[0.0352, 0.0004]","[0.0666, 0.0006]","[0.0968, 0.0008]","[0.1262, 0.0009]","[0.2651, 0.0014]",,,,,,,,,,,,,,,
31,ALS,100,-0.5,1,,"[0.1668, 0.0009]","[0.1268, 0.001]","[0.1144, 0.0008]","[0.1063, 0.0007]","[0.1007, 0.0006]","[0.0797, 0.0005]","[0.0931, 0.0006]","[0.0456, 0.0005]","[0.0794, 0.0007]","[0.1067, 0.0009]","[0.1317, 0.001]","[0.2398, 0.0013]",,,,,,,,,,,,,,,
32,ALS,100,-0.1,1,,"[0.1891, 0.0009]","[0.1377, 0.001]","[0.1247, 0.0008]","[0.1165, 0.0007]","[0.1103, 0.0006]","[0.0884, 0.0005]","[0.1019, 0.0006]","[0.0507, 0.0006]","[0.0884, 0.0008]","[0.122, 0.0009]","[0.1517, 0.001]","[0.2803, 0.0014]",,,,,,,,,,,,,,,
33,ALS,100,0.1,1,,"[0.1931, 0.0009]","[0.1387, 0.001]","[0.1261, 0.0008]","[0.1182, 0.0007]","[0.1121, 0.0006]","[0.0903, 0.0005]","[0.1025, 0.0006]","[0.0503, 0.0005]","[0.0894, 0.0008]","[0.1245, 0.0009]","[0.1556, 0.001]","[0.2895, 0.0014]",,,,,,,,,,,,,,,
34,ALS,100,10,1,,"[0.1832, 0.0008]","[0.1213, 0.0009]","[0.1127, 0.0007]","[0.107, 0.0006]","[0.1028, 0.0006]","[0.0853, 0.0004]","[0.0929, 0.0006]","[0.0451, 0.0005]","[0.0823, 0.0007]","[0.1161, 0.0009]","[0.1476, 0.001]","[0.2859, 0.0014]",,,,,,,,,,,,,,,
35,NCML,100,1,1,,"[0.189, 0.0008]","[0.1291, 0.001]","[0.1205, 0.0008]","[0.1142, 0.0007]","[0.1094, 0.0006]","[0.0905, 0.0005]","[0.0981, 0.0006]","[0.0451, 0.0005]","[0.0828, 0.0007]","[0.1168, 0.0008]","[0.1483, 0.001]","[0.2918, 0.0014]",,,,,,,,,,,,,,,
36,CML,100,1,1,,"[0.1755, 0.0008]","[0.1191, 0.001]","[0.1125, 0.0008]","[0.1076, 0.0007]","[0.1036, 0.0006]","[0.0868, 0.0005]","[0.0897, 0.0006]","[0.0392, 0.0005]","[0.0741, 0.0007]","[0.1064, 0.0008]","[0.1363, 0.0009]","[0.2743, 0.0013]",,,,,,,,,,,,,,,
37,AutoRec,200,1,1,,"[0.1193, 0.0007]","[0.0947, 0.0009]","[0.0854, 0.0007]","[0.0792, 0.0006]","[0.075, 0.0006]","[0.0584, 0.0004]","[0.0678, 0.0005]","[0.0328, 0.0004]","[0.058, 0.0006]","[0.0781, 0.0007]","[0.0973, 0.0008]","[0.1668, 0.0011]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
