,model,rank,alpha,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
27,PmiWPLRec,100,10,0.9,,"[0.186, 0.0008]","[0.1551, 0.0009]","[0.1488, 0.0008]","[0.144, 0.0007]","[0.1649, 0.0011]","[0.1213, 0.0005]","[0.1111, 0.0005]","[0.0696, 0.0006]","[0.0993, 0.0007]","[0.1269, 0.0008]","[0.0375, 0.0004]","[0.244, 0.0012]"
28,PmiWPLRec,100,10,1,,"[0.1971, 0.0008]","[0.1608, 0.0009]","[0.1551, 0.0008]","[0.1505, 0.0007]","[0.17, 0.0011]","[0.1281, 0.0006]","[0.1163, 0.0006]","[0.0722, 0.0006]","[0.1039, 0.0007]","[0.1337, 0.0009]","[0.0386, 0.0004]","[0.2626, 0.0012]"
29,PmiWPLRec,100,10,1.1,,"[0.1982, 0.0008]","[0.1594, 0.0009]","[0.1543, 0.0008]","[0.1506, 0.0008]","[0.1677, 0.0012]","[0.1318, 0.0006]","[0.1143, 0.0006]","[0.0686, 0.0006]","[0.0998, 0.0007]","[0.1302, 0.0009]","[0.0359, 0.0004]","[0.2691, 0.0013]"
30,PmiWPLRec,100,10,1.2,,"[0.1868, 0.0008]","[0.1494, 0.0009]","[0.146, 0.0009]","[0.1436, 0.0008]","[0.1576, 0.0012]","[0.1283, 0.0006]","[0.1053, 0.0006]","[0.0593, 0.0005]","[0.0886, 0.0007]","[0.1179, 0.0008]","[0.0311, 0.0003]","[0.2565, 0.0013]"
31,ALS,100,-0.1,1,,"[0.165, 0.0007]","[0.1586, 0.0009]","[0.1494, 0.0008]","[0.1422, 0.0007]","[0.1724, 0.0011]","[0.1163, 0.0006]","[0.1054, 0.0005]","[0.0616, 0.0005]","[0.0852, 0.0006]","[0.1062, 0.0006]","[0.0343, 0.0003]","[0.1984, 0.0009]"
32,ALS,100,-0.05,1,,"[0.1657, 0.0007]","[0.159, 0.0009]","[0.1498, 0.0008]","[0.1427, 0.0007]","[0.1727, 0.0011]","[0.1167, 0.0006]","[0.1059, 0.0005]","[0.0618, 0.0005]","[0.0855, 0.0006]","[0.1066, 0.0006]","[0.0344, 0.0003]","[0.1994, 0.0009]"
33,ALS,100,0.1,1,,"[0.1675, 0.0007]","[0.1603, 0.0009]","[0.1511, 0.0008]","[0.1437, 0.0007]","[0.1738, 0.0011]","[0.1176, 0.0006]","[0.107, 0.0005]","[0.0625, 0.0005]","[0.0866, 0.0006]","[0.1078, 0.0006]","[0.0347, 0.0003]","[0.202, 0.0009]"
34,ALS,100,10,1,,"[0.1865, 0.0007]","[0.1609, 0.0009]","[0.1548, 0.0008]","[0.1499, 0.0007]","[0.1712, 0.0011]","[0.1251, 0.0006]","[0.1114, 0.0005]","[0.0676, 0.0005]","[0.0977, 0.0007]","[0.1263, 0.0008]","[0.0362, 0.0004]","[0.2421, 0.0011]"
,NCML,100,1,1,,"[0.189, 0.0008]","[0.1205, 0.0008]","[0.1142, 0.0007]","[0.1094, 0.0006]","[0.1291, 0.001]","[0.0905, 0.0005]","[0.0981, 0.0006]","[0.0828, 0.0007]","[0.1168, 0.0008]","[0.1483, 0.001]","[0.0451, 0.0005]","[0.2918, 0.0014]"
,CML,100,1,1,,"[0.1755, 0.0008]","[0.1125, 0.0008]","[0.1076, 0.0007]","[0.1036, 0.0006]","[0.1191, 0.001]","[0.0868, 0.0005]","[0.0897, 0.0006]","[0.0741, 0.0007]","[0.1064, 0.0008]","[0.1363, 0.0009]","[0.0392, 0.0005]","[0.2743, 0.0013]"
,model,rank,alpha,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
