,model,rank,lambda,alpha,R-Precision,NDCG
58,WPLRec,50,100,0.06812920690579612,0.0784313725490196,0.1789472680719035
59,WPLRec,50,100,0.1,0.0784313725490196,0.1789472680719035
60,WPLRec,50,100,0.1467799267622069,0.0784313725490196,0.1789472680719035
61,WPLRec,50,100,0.21544346900318834,0.0784313725490196,0.1789472680719035
62,WPLRec,50,100,0.31622776601683794,0.0784313725490196,0.1789472680719035
63,WPLRec,50,100,0.46415888336127775,0.0784313725490196,0.1789472680719035
64,WPLRec,50,100,0.6812920690579611,0.0784313725490196,0.1779608379986583
65,WPLRec,50,100,1.0,0.0784313725490196,0.1746967299370369
66,WPLRec,50,100,1.467799267622069,0.0784313725490196,0.17621773902102675
67,WPLRec,50,100,2.154434690031882,0.08823529411764706,0.19039179628547911
68,WPLRec,50,100,3.1622776601683795,0.08823529411764706,0.1668491967628158
69,WPLRec,50,100,4.6415888336127775,0.0784313725490196,0.15323852187863524
70,WPLRec,50,100,6.812920690579608,0.06862745098039216,0.13906446461418287
71,WPLRec,50,100,10.0,0.08823529411764706,0.1668491967628158
72,WPLRec,50,100,14.67799267622069,0.0784313725490196,0.15323852187863524
73,WPLRec,50,100,21.54434690031882,0.0784313725490196,0.15267513949836342
74,WPLRec,50,100,31.622776601683793,0.0784313725490196,0.15323852187863524
75,WPLRec,50,100,46.41588833612777,0.0784313725490196,0.14657070530177385
76,WPLRec,50,100,68.12920690579608,0.058823529411764705,0.11148088092609013
77,WPLRec,50,100,100.0,0.049019607843137254,0.08648049108070521
78,WPLRec,100,1,0.0,0.06862745098039216,0.15650262994025665
79,WPLRec,100,1,0.01,0.06862745098039216,0.15650262994025665
80,WPLRec,100,1,0.014677992676220698,0.06862745098039216,0.15650262994025665
81,WPLRec,100,1,0.021544346900318832,0.06862745098039216,0.15650262994025665
82,WPLRec,100,1,0.03162277660168379,0.06862745098039216,0.1559392475599848
83,WPLRec,100,1,0.046415888336127774,0.06862745098039216,0.1559392475599848
84,WPLRec,100,1,0.06812920690579612,0.06862745098039216,0.1559392475599848
85,WPLRec,100,1,0.1,0.06862745098039216,0.1559392475599848
86,WPLRec,100,1,0.1467799267622069,0.06862745098039216,0.1559392475599848
87,WPLRec,100,1,0.21544346900318834,0.06862745098039216,0.1559392475599848
