model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CDAE,50,1,0.1,300,Cosine,0.5,1,,"[0.0148, 0.0005]","[0.002, 0.0001]","[0.0018, 0.0001]","[0.0017, 0.0001]","[0.0023, 0.0002]","[0.0016, 0.0]","[0.0023, 0.0003]","[0.0124, 0.0008]","[0.0164, 0.0009]","[0.0213, 0.0011]","[0.0071, 0.0006]","[0.0472, 0.0016]"
CDAE,100,1,1E-05,300,Cosine,0.5,1,,"[0.018, 0.0006]","[0.0024, 0.0001]","[0.0023, 0.0001]","[0.0021, 0.0001]","[0.0025, 0.0002]","[0.0018, 0.0001]","[0.0033, 0.0004]","[0.0153, 0.0009]","[0.0214, 0.0011]","[0.0266, 0.0012]","[0.0079, 0.0007]","[0.0562, 0.0017]"
CDAE,100,1,0.0001,300,Cosine,0.5,1,,"[0.0181, 0.0006]","[0.0024, 0.0001]","[0.0023, 0.0001]","[0.0022, 0.0001]","[0.0028, 0.0002]","[0.0018, 0.0001]","[0.0034, 0.0004]","[0.0156, 0.0009]","[0.0217, 0.0011]","[0.0276, 0.0012]","[0.0087, 0.0007]","[0.0555, 0.0017]"
CDAE,100,1,0.001,300,Cosine,0.5,1,,"[0.0157, 0.0006]","[0.0024, 0.0001]","[0.0022, 0.0001]","[0.0021, 0.0001]","[0.0027, 0.0002]","[0.0015, 0.0]","[0.0025, 0.0003]","[0.0154, 0.0009]","[0.0217, 0.0011]","[0.0269, 0.0012]","[0.0089, 0.0007]","[0.0474, 0.0016]"
CDAE,100,1,0.01,300,Cosine,0.5,1,,"[0.0056, 0.0004]","[0.0008, 0.0001]","[0.0006, 0.0001]","[0.0006, 0.0]","[0.0012, 0.0001]","[0.0004, 0.0]","[0.0021, 0.0003]","[0.0051, 0.0005]","[0.0055, 0.0005]","[0.0074, 0.0006]","[0.004, 0.0005]","[0.0135, 0.0009]"
CDAE,100,1,0.1,300,Cosine,0.5,1,,"[0.0148, 0.0005]","[0.002, 0.0001]","[0.0018, 0.0001]","[0.0017, 0.0001]","[0.0023, 0.0002]","[0.0016, 0.0]","[0.0023, 0.0003]","[0.0124, 0.0008]","[0.0164, 0.0009]","[0.0213, 0.0011]","[0.0071, 0.0006]","[0.0472, 0.0016]"
CDAE,200,1,1E-05,300,Cosine,0.5,1,,"[0.0181, 0.0006]","[0.0024, 0.0001]","[0.0023, 0.0001]","[0.0021, 0.0001]","[0.0026, 0.0002]","[0.0018, 0.0001]","[0.0033, 0.0004]","[0.0153, 0.0009]","[0.0214, 0.0011]","[0.0268, 0.0012]","[0.0082, 0.0007]","[0.0563, 0.0017]"
CDAE,200,1,0.0001,300,Cosine,0.5,1,,"[0.0178, 0.0006]","[0.0024, 0.0001]","[0.0022, 0.0001]","[0.0022, 0.0001]","[0.0029, 0.0002]","[0.0018, 0.0001]","[0.0025, 0.0003]","[0.0151, 0.0009]","[0.0213, 0.0011]","[0.0274, 0.0012]","[0.0092, 0.0007]","[0.0568, 0.0018]"
CDAE,200,1,0.001,300,Cosine,0.5,1,,"[0.0135, 0.0006]","[0.0022, 0.0001]","[0.0018, 0.0001]","[0.0017, 0.0001]","[0.0027, 0.0002]","[0.0012, 0.0]","[0.0024, 0.0003]","[0.0146, 0.0009]","[0.0173, 0.001]","[0.0223, 0.0011]","[0.0088, 0.0007]","[0.0387, 0.0014]"
CDAE,200,1,0.01,300,Cosine,0.5,1,,"[0.003, 0.0003]","[0.0004, 0.0001]","[0.0004, 0.0]","[0.0003, 0.0]","[0.0005, 0.0001]","[0.0002, 0.0]","[0.0013, 0.0003]","[0.0023, 0.0003]","[0.0031, 0.0004]","[0.0034, 0.0004]","[0.0016, 0.0003]","[0.0071, 0.0006]"
CDAE,200,1,0.1,300,Cosine,0.5,1,,"[0.0148, 0.0005]","[0.002, 0.0001]","[0.0018, 0.0001]","[0.0017, 0.0001]","[0.0023, 0.0002]","[0.0016, 0.0]","[0.0023, 0.0003]","[0.0124, 0.0008]","[0.0164, 0.0009]","[0.0213, 0.0011]","[0.0071, 0.0006]","[0.0472, 0.0016]"
