,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
1,WRMF,100,1000,10,10,Cosine,0,1.0,,"[0.0774, 0.0004]","[0.0292, 0.0002]","[0.0273, 0.0002]","[0.026, 0.0002]","[0.0319, 0.0003]","[0.0211, 0.0001]","[0.0288, 0.0002]","[0.0427, 0.0004]","[0.0599, 0.0005]","[0.0759, 0.0005]","[0.0234, 0.0003]","[0.1559, 0.0007]"
2,WRMF,100,1000,100,10,Cosine,0,1.0,,"[0.1361, 0.0005]","[0.0497, 0.0003]","[0.0456, 0.0002]","[0.0424, 0.0002]","[0.0559, 0.0004]","[0.032, 0.0001]","[0.0521, 0.0003]","[0.0871, 0.0006]","[0.1191, 0.0006]","[0.1469, 0.0007]","[0.0493, 0.0004]","[0.2715, 0.0009]"
3,WRMF,100,1000,1000,10,Cosine,0,1.0,,"[0.2695, 0.0007]","[0.0944, 0.0003]","[0.0838, 0.0003]","[0.0759, 0.0002]","[0.1105, 0.0005]","[0.0511, 0.0002]","[0.1117, 0.0006]","[0.219, 0.0009]","[0.2816, 0.001]","[0.331, 0.0011]","[0.1336, 0.0007]","[0.5116, 0.0011]"
4,WRMF,100,1000,10000,10,Cosine,0,1.0,,"[0.326, 0.0007]","[0.1133, 0.0004]","[0.1004, 0.0003]","[0.091, 0.0003]","[0.1331, 0.0005]","[0.0608, 0.0002]","[0.1412, 0.0006]","[0.2716, 0.001]","[0.3456, 0.0011]","[0.4033, 0.0011]","[0.1707, 0.0008]","[0.6033, 0.0011]"
0,WRMF,50,10000,1,10,Cosine,0,1.0,,"[0.0672, 0.0003]","[0.0223, 0.0002]","[0.0206, 0.0001]","[0.0194, 0.0001]","[0.0252, 0.0002]","[0.0157, 0.0001]","[0.0246, 0.0002]","[0.0419, 0.0004]","[0.057, 0.0005]","[0.0708, 0.0005]","[0.0244, 0.0003]","[0.1376, 0.0007]"
1,WRMF,50,10000,10,10,Cosine,0,1.0,,"[0.0585, 0.0003]","[0.0212, 0.0002]","[0.0198, 0.0001]","[0.0187, 0.0001]","[0.0237, 0.0002]","[0.0154, 0.0001]","[0.022, 0.0002]","[0.0329, 0.0003]","[0.0457, 0.0004]","[0.0573, 0.0004]","[0.0188, 0.0003]","[0.1165, 0.0006]"
2,WRMF,50,10000,100,10,Cosine,0,1.0,,"[0.0669, 0.0003]","[0.0247, 0.0002]","[0.0229, 0.0001]","[0.0217, 0.0001]","[0.0278, 0.0003]","[0.0176, 0.0001]","[0.0254, 0.0002]","[0.0377, 0.0003]","[0.0522, 0.0004]","[0.0655, 0.0005]","[0.0213, 0.0003]","[0.132, 0.0006]"
3,WRMF,50,10000,1000,10,Cosine,0,1.0,,"[0.1323, 0.0005]","[0.0445, 0.0002]","[0.0407, 0.0002]","[0.0379, 0.0002]","[0.0507, 0.0003]","[0.0293, 0.0001]","[0.0491, 0.0003]","[0.0865, 0.0006]","[0.1172, 0.0007]","[0.1441, 0.0007]","[0.0502, 0.0004]","[0.2669, 0.0009]"
4,WRMF,50,10000,10000,10,Cosine,0,1.0,,"[0.2533, 0.0007]","[0.0803, 0.0003]","[0.0716, 0.0002]","[0.0652, 0.0002]","[0.0932, 0.0004]","[0.0451, 0.0001]","[0.0983, 0.0006]","[0.2119, 0.001]","[0.2719, 0.001]","[0.3203, 0.0011]","[0.1308, 0.0008]","[0.5011, 0.0012]"

