domain,root,NDCG
Netflix,0.8,"[0.1395, 0.0004]"
Netflix,0.9,"[0.1499, 0.0004]"
Netflix,1,"[0.1616, 0.0004]"
Netflix,1.1,"[0.1713, 0.0004]"
Netflix,1.2,"[0.167, 0.0004]"
Netflix,1.3,"[0.1423, 0.0004]"
Netflix,0.7,"[0.1342, 0.0004]"
Netflix,0.8,"[0.1395, 0.0004]"
Netflix,0.9,"[0.1499, 0.0004]"
Netflix,1,"[0.1616, 0.0004]"
Netflix,1.1,"[0.1713, 0.0004]"
Netflix,1.2,"[0.167, 0.0004]"
Netflix,1.3,"[0.1423, 0.0004]"
Netflix,0.7,"[0.1342, 0.0004]"
Netflix,0.8,"[0.1395, 0.0004]"
Netflix,0.9,"[0.1499, 0.0004]"
Netflix,1,"[0.1616, 0.0004]"
Netflix,1.1,"[0.1713, 0.0004]"
Netflix,1.2,"[0.167, 0.0004]"
Netflix,1.3,"[0.1423, 0.0004]"
Netflix,0.7,"[0.1343, 0.0004]"
Netflix,0.8,"[0.1395, 0.0004]"
Netflix,0.9,"[0.1499, 0.0004]"
Netflix,1,"[0.1616, 0.0004]"
Netflix,1.1,"[0.1714, 0.0004]"
Netflix,1.2,"[0.167, 0.0004]"
Netflix,1.3,"[0.1424, 0.0004]"
Yahoo,0.7,"[0.271, 0.0007]"
Yahoo,0.8,"[0.2769, 0.0007]"
Yahoo,0.9,"[0.2889, 0.0007]"
Yahoo,1,"[0.3211, 0.0007]"
Yahoo,1.1,"[0.3519, 0.0007]"
Yahoo,1.2,"[0.3538, 0.0007]"
Yahoo,1.3,"[0.3257, 0.0007]"
Yahoo,0.7,"[0.271, 0.0007]"
Yahoo,0.8,"[0.2769, 0.0007]"
Yahoo,0.9,"[0.2889, 0.0007]"
Yahoo,1,"[0.3211, 0.0007]"
Yahoo,1.1,"[0.3519, 0.0007]"
Yahoo,1.2,"[0.3538, 0.0007]"
Yahoo,1.3,"[0.3257, 0.0007]"
Yahoo,0.7,"[0.271, 0.0007]"
Yahoo,0.8,"[0.2769, 0.0007]"
Yahoo,0.9,"[0.2889, 0.0007]"
Yahoo,1,"[0.3211, 0.0007]"
Yahoo,1.1,"[0.3519, 0.0007]"
Yahoo,1.2,"[0.3538, 0.0007]"
Yahoo,1.3,"[0.3257, 0.0007]"
Yahoo,0.7,"[0.271, 0.0007]"
Yahoo,0.8,"[0.2769, 0.0007]"
Yahoo,0.9,"[0.2889, 0.0007]"
Yahoo,1,"[0.3211, 0.0007]"
Yahoo,1.1,"[0.3519, 0.0007]"
Yahoo,1.2,"[0.3539, 0.0007]"
Yahoo,1.3,"[0.3257, 0.0007]"
Yahoo,0.7,"[0.2711, 0.0007]"
Yahoo,0.8,"[0.2769, 0.0007]"
Yahoo,0.9,"[0.2889, 0.0007]"
Yahoo,1,"[0.3212, 0.0007]"
Yahoo,1.1,"[0.352, 0.0007]"
Yahoo,1.2,"[0.3539, 0.0007]"
Yahoo,1.3,"[0.3257, 0.0007]"
Yahoo,0.7,"[0.2154, 0.0006]"
Yahoo,0.8,"[0.2213, 0.0007]"
Yahoo,0.9,"[0.2326, 0.0007]"
Yahoo,1,"[0.2594, 0.0007]"
Yahoo,1.1,"[0.329, 0.0007]"
Yahoo,1.2,"[0.3533, 0.0007]"
Yahoo,1.3,"[0.3304, 0.0007]"
Yahoo,0.7,"[0.2154, 0.0006]"
Yahoo,0.8,"[0.2213, 0.0007]"
Yahoo,0.9,"[0.2326, 0.0007]"
Yahoo,1,"[0.2594, 0.0007]"
Yahoo,1.1,"[0.329, 0.0007]"
Yahoo,1.2,"[0.3533, 0.0007]"
Yahoo,1.3,"[0.3304, 0.0007]"
Yahoo,0.7,"[0.2154, 0.0006]"
Yahoo,0.8,"[0.2213, 0.0007]"
Yahoo,0.9,"[0.2326, 0.0007]"
Yahoo,1,"[0.2594, 0.0007]"
Yahoo,1.1,"[0.329, 0.0007]"
Yahoo,1.2,"[0.3533, 0.0007]"
Yahoo,1.3,"[0.3304, 0.0007]"
Yahoo,0.7,"[0.2155, 0.0006]"
Yahoo,0.8,"[0.2213, 0.0007]"
Yahoo,0.9,"[0.2326, 0.0007]"
Yahoo,1,"[0.2594, 0.0007]"
Yahoo,1.1,"[0.329, 0.0007]"
Yahoo,1.2,"[0.3534, 0.0007]"
Yahoo,1.3,"[0.3304, 0.0007]"
Yahoo,0.7,"[0.2155, 0.0006]"
Yahoo,0.8,"[0.2214, 0.0007]"
Yahoo,0.9,"[0.2328, 0.0007]"
Yahoo,1,"[0.2596, 0.0007]"
Yahoo,1.1,"[0.3293, 0.0007]"
Yahoo,1.2,"[0.3536, 0.0007]"
Yahoo,1.3,"[0.3306, 0.0007]"
Yahoo,0.7,"[0.1393, 0.0006]"
Yahoo,0.8,"[0.1425, 0.0006]"
Yahoo,0.9,"[0.1481, 0.0006]"
Yahoo,1,"[0.1612, 0.0006]"
Yahoo,1.1,"[0.2726, 0.0007]"
Yahoo,1.2,"[0.3368, 0.0007]"
Yahoo,1.3,"[0.3242, 0.0007]"
Yahoo,0.7,"[0.1393, 0.0006]"
Yahoo,0.8,"[0.1425, 0.0006]"
Yahoo,0.9,"[0.1481, 0.0006]"
Yahoo,1,"[0.1612, 0.0006]"
Yahoo,1.1,"[0.2726, 0.0007]"
Yahoo,1.2,"[0.3368, 0.0007]"
Yahoo,1.3,"[0.3242, 0.0007]"
Yahoo,0.7,"[0.1393, 0.0006]"
Yahoo,0.8,"[0.1425, 0.0006]"
Yahoo,0.9,"[0.1481, 0.0006]"
